[00:16] 各位同学大家好
[02:36] 比如说你需要一块内存

[02:37] 我们说所有的程序在执行之前

[02:40] 你都要加载到内存当中

[02:41] 你才能真正去跑

[02:42] 除此之外

[02:44] 我们上一节课

[02:45] 要介绍我们说进程在执行的过程当中

[02:47] 还需要一系列的IO的资源

[02:50] 文件的资源

[02:51] 以及这个其他的数据等等

[02:52] 这些个资源共同为进程的执行

[02:56] 我们说提供了帮助

[02:57] 也就是说一个进程必须要在这些个资源的帮助下才能执行

[03:02] 因此我们说对应于操作系统的进程管理子系统

[03:07] 我们应该负责以下这些个操作

[03:09] 比如说对于进程的创建

[03:11] 对于进程的删除

[03:13] 除此之外

[03:14] 我们还要负责

[03:15] 进程的停止和进程的恢复

[03:17] 我们说这里面为什么要进程的停止和进程的恢复

[03:20] 这里面在多道程序环境下

[03:23] 也就是说在一个并发的环境下

[03:25] 是多个进程并发执行

[03:27] 这里面我们假设采用一种轮转法

[03:30] 我们具体的轮转法是什么

[03:31] 咱们后面会讲

[03:32] 这个假如说我们采用一种轮转法

[03:35] 多个进程

[03:36] 一个进程在CPU上跑一个很短的时间片

[03:39] 这里面就会涉及到当前的这个进程的停止和恢复的过程

[03:43] 咱们后面会给大家详细的介绍

[03:45] 除此之外

[03:46] 我们说进程管理子系统还要提供一些进程同步

[03:49] 包括进程通讯的一些相关的功能和相关的实现

[03:53] 这里面操作系统提供的第二个组件是内存管理系统

[03:58] 这里面我们首先看什么是内存

[04:00] 关于内存的定义

[04:02] 我们说内存应该是一个巨大的字的数组

[04:05] 或者是字节的数组

[04:07] 并且每一个字或者字节都有它自己的绝对地址

[04:12] 我们这里面看为什么需要特别强调这个绝对地址

[04:15] 这指的是CPU在读取指令之后

[04:19] 然后再解释指令

[04:20] 我们再进一步去内存当中去寻指

[04:23] 去找对应的指令

[04:25] 找对应的数据的时候

[04:26] CPU需要通过这个绝对地址到内存当中

[04:30] 去找到对应的指令和数据

[04:32] 因此我们说内存实际上是CPU唯一能够访问的大容量存储器

[04:37] 因此我们说在内存当中的每一个字和每一个字节

[04:41] 都应该有一个绝对的地址

[04:43] 我们说这是为了方便CPU选取的数据

[04:45] 这样一个过程

[04:46] 那么除此之外

[04:48] 我们说内存还同时为CPU和各种IO设备提供了一个交换数据的场所

[04:54] 这里面之前咱们给大家讲过

[04:56] 对吧

[04:56] 我们说一个进程

[04:57] 一个进程在执行的过程当中

[04:59] 应该是在它的CPU Burst和IO Burst当中逐渐的轮转

[05:03] 这里面或者说这个过程当中可能会涉及到一些数据交换的问题

[05:08] 这个后面会给大家详细的介绍

[05:11] 除此之外

[05:12] 我们说对于内存管理系统

[05:15] 说在这个多道程序的系统当中

[05:17] 内存中往往有多个程序共同执行

[05:21] 因此我们需要一个内存管理模块来管理这些个在内存当中并发执行的进程

[05:28] 比如说这里面我们需要内存管理子系统去记录内存哪部分正在被哪一个进程所使用

[05:35] 除此之外

[05:36] 我们说当内存空间有可用的空间的时候

[05:39] 还应该由这个内存管理子系统来决定哪一个进程

[05:42] 可以装进这个内存当中

[05:45] 开始执行

[05:45] 除此之外

[05:47] 我们说整个内存管理子系统还要负责内存的分配和这个释放的相关的这个功能

[05:53] 那么对于这个操作系统的第三个组件

[05:56] 我们说是文件管理子系统

[05:58] 这里面说我们说为什么要提供这个文件的概念

[06:02] 我们说对于文件的这个概念

[06:05] 实际上它提供了统一的逻辑上的存储的单元

[06:10] 我们说为什么需要这样一个逻辑上的信息的存储单元

[06:13] 这就是因为在操作中

[06:15] 或者说在我们整个计算机系统当中

[06:18] 我们需要保存一个数据的时候

[06:20] 我们底层有各种各样的保存数据的方式

[06:23] 比如说我们可以把对应的信息转换成磁信号

[06:27] 并且把它保存在磁盘当中

[06:29] 或者我们还可以把对应的信息转换成光学的信号

[06:32] 我们可以把它存储在光盘当中

[06:35] 除此之外

[06:36] 我们还可以把对应的信息转换成电信号

[06:38] 把它保存到网络硬盘当中

[06:40] 这里面我们说正是这种底层的易购性

[06:43] 为我们这个内存管理子系统的存储方式

[06:45] 信息的存储提供的不便

[06:46] 因此我们需要一个信息的单元

[06:49] 或者说我们需要一个独立的信息存储层

[06:52] 来向下屏蔽这种易购性

[06:54] 并且向上提供一种统一的逻辑

[06:57] 而这样的一个单元

[06:59] 就是我们刚才给大家说的叫做文件

[07:02] 比如说有了文件这个概念之后

[07:05] 你所需要保存的所有的信息

[07:07] 不管是二进制信息

[07:08] 不管是文本信息等等

[07:09] 这些所有的信息必须要先保存成文件之后

[07:13] 再调用对应操作

[07:15] 系统的系统调用

[07:16] 然后把它保存到磁盘上也好

[07:18] 光盘上也好

[07:19] 保存成电信号

[07:20] 这个网络硬盘上也好

[07:21] 因此我们说什么是一个文件

[07:24] 这里面我们说在文件当中的第一层含义

[07:26] 就是文件提供了逻辑上的信息的存储单元

[07:31] 这里面我们说文件的第二层含义

[07:33] 也就是说它就确切定义

[07:35] 它应该是一些相关信息的集合

[07:37] 并且这个相关信息的定义者

[07:40] 应该是当前文件的创造者

[07:42] 那么对于文件管理系统

[07:44] 我们说它应该是一些相关信息的集合

[07:45] 它应该负责以下的几个功能

[07:48] 比如说对于文件的创建

[07:50] 比如说文件的删除

[07:52] 这里面我们说对应于文件系统

[07:53] 当时只要有文件的删除

[07:55] 文件的创造

[07:57] 就必然有对应文件所对应的目录的创建

[08:00] 和这个目录的删除

[08:01] 这里面我们说对应于文件系统来讲

[08:03] 文件本身很重要

[08:05] 但是对应于文件的目录

[08:08] 它本身也是非常的重要的

[08:09] 因为我们说对应于计算机系统

[08:11] 如果没有目录的帮助

[08:13] 我们是无法

[08:14] 找到存在磁盘当中的文件的

[08:17] 这里面我们说

[08:17] 对应于文件管理子系统的第三方面内容

[08:20] 是我们要提供一些个原语来控制文件

[08:23] 以及这个控制文件的目录

[08:25] 这里面我们提到了一个新的概念

[08:27] 叫做原语

[08:28] 这里面的原语的英文叫做Primitive

[08:31] 原语是什么意思呢

[08:33] 原语其实是这样

[08:34] 原语是实现某一个功能的一系列指令集

[08:38] 一个指令的集合

[08:39] 对应于这些指令集合

[08:42] 在执行过程当中

[08:43] 要么全部指令集合

[08:44] 全部都执行

[08:45] 要么所有的指令集

[08:47] 一个都不执行

[08:48] 因此它是一个执行的单元

[08:51] 叫做Primitive

[08:52] 叫做原语

[08:53] 这里面之前给大家讲过一个概念

[08:55] 叫做中断

[08:56] 大家还记得吧

[08:57] 我们说对应于中断

[08:59] 指的是这样一个机制

[09:00] 就是说我CPU在运行一个程序的时候

[09:02] 我提供了一种机制

[09:04] 也就是说当计算机发生了某一件事

[09:06] 需要CPU去参与的时候

[09:08] 让CPU放下当前的工作

[09:10] 转而去处以另外一件事

[09:12] 这里面我们说在原语的

[09:14] 执行的过程当中

[09:15] 也就是刚才给大家介绍

[09:17] Primitive这个概念

[09:18] 在原语执行的过程当中

[09:20] 我们不允许发生中断

[09:21] 如果有中断的话

[09:23] 有中断的这种事情

[09:24] 原语执行之后

[09:25] 再处理我们对应的发生的中断

[09:29] 那么对应于文件管理子系统的

[09:30] 第四个方面的内容

[09:32] 我们要将对应的文件

[09:34] 或者我们应该提供一种功能

[09:35] 把你对应的文件映射到二级存储当中

[09:38] 这里面我们说二级存储

[09:40] 一般情况下我们指的是磁盘

[09:42] 而对应于文件管理子系统的

[09:44] 内容就是说

[09:45] 我们正是因为二级存储的

[09:47] 包括磁盘

[09:48] 包括磁带

[09:48] 它本身的不安全性

[09:50] 因此对应于文件管理子系统

[09:52] 我们应该提供一种机制

[09:53] 这种机制就是提供了一种

[09:55] 文件备份和恢复的这样一种机制

[09:58] 那么这些就是对应于文件管理子系统

[10:02] 这块要给大家介绍的一个

[10:03] 概要性的介绍

[10:04] 那么对应于操作系统提供的

[10:06] 第四个组件

[10:07] 也就是说IO系统管理这一块

[10:09] 对应于IO系统管理这一块

[10:11] 首先给大家介绍两个基本的概念

[10:14] 这两个基本的概念

[10:15] 一个是buffer

[10:16] 一个是caching

[10:17] 关于caching的这个概念

[10:19] 我们说也叫做缓存

[10:20] 这个之前已经给大家介绍过了

[10:23] 这里面我们回忆一下

[10:24] 什么是缓存

[10:24] 这里面缓存

[10:26] 我们说提供了一种机制

[10:28] 这种机制就是说

[10:29] 在程序的运行过程当中

[10:31] 它的指令也好

[10:32] 它的数据也好

[10:33] 会从这种存储速度比较慢的

[10:36] 存储设备当中

[10:37] 转移到速度比较快的

[10:39] 存储设备当中

[10:40] 比如说

[10:40] 对应于一个数据

[10:42] 它可能在内存当中

[10:43] 在内存当中

[10:44] 我们开始执行的时候

[10:46] 它首先会被加载到缓存当中

[10:48] 然后从缓存当中

[10:50] 再会加载到CPU当中的集存器当中

[10:52] 我们说这样的一个数据迁移的过程

[10:55] 我们叫做缓存

[10:56] 叫做caching

[10:57] 它实际上是一种机制

[10:59] 那么与缓存所对应的另外一个概念

[11:02] 经常用又搞混淆的一个概念

[11:04] 叫做buffer

[11:05] 而buffer对应的中文叫做缓充

[11:08] 或者叫做缓充区

[11:09] 这里面我们看什么是一个缓充

[11:12] 这里面的缓充

[11:13] 我们指的是

[11:14] 为了处理这种设备和设备

[11:17] 这个数据处理速度的差异

[11:19] 或者是处理数据的速度上的差异

[11:22] 我们特别在内存当中开辟一块区域

[11:26] 就为了解决这种速度上的差异

[11:28] 来提供这种数据上的缓存

[11:31] 这里面我给大家举一个例子

[11:33] 比如说早期

[11:35] 这个90年代的时候

[11:37] 我们上网

[11:38] 那个时候我们上网没有宽带

[11:40] 对吧

[11:40] 我们那个时候用猫

[11:41] 叫modem

[11:42] 用modem拨号去上网

[11:44] 那个时候的速度是非常的慢

[11:46] 比如说那时候的速度只有56K

[11:48] 对吧

[11:49] 我们说一秒钟大概就56K的比特能够传输

[11:52] 这个速度是非常的慢

[11:54] 我们考虑一下这样一个场景

[11:55] 就是说我现在通过modem

[11:57] 接收远程发送过来的数据

[11:59] 然后我把这些数据写到磁盘当中

[12:02] 我们考虑这样一个应用场景

[12:04] 刚才给大家介绍

[12:05] 我们说由猫去接收数据的速度是非常的慢的

[12:09] 大概只有56K

[12:09] 但是我们说

[12:12] 硬盘的输入数据或者说输入速度

[12:15] 或者是写入速度

[12:16] 我们说硬盘的写入速度是非常的快的

[12:18] 对吧

[12:19] 这里面我们说机械硬盘的输入速度或者是写入速度

[12:22] 基本在100兆每秒左右

[12:24] 因此我们看通过猫和这个磁盘当中存在了一个巨大的速度的差异

[12:30] 因此我们一般不可能是这个猫接收了一个字节

[12:33] 我们就把这个字节写到磁盘

[12:35] 再接受一个字节

[12:36] 又把这个字节写到磁盘

[12:37] 我们说这样的效率太低了

[12:39] 因此为了处理或者说为了应对这个modem

[12:42] 和这个硬盘当中这种速度的差异

[12:44] 我们特别在内存当中开辟了一块缓冲区

[12:48] 也就是这个buffer

[12:50] 对于这个缓冲区

[12:51] 也就是说我从modem输入这个数据的时候

[12:53] 我先不把它直接写到磁盘当中

[12:56] 我们先把这个数据

[12:57] 一个一个的比特或者是一个一个byte

[13:00] 先写入到我们在内存当中开辟的这个缓冲区当中

[13:04] 然后等我们这个缓冲区足够大的时候

[13:06] 我们把这一大块数据一下写到磁盘当中

[13:10] 我们说这是一个

[13:12] 效率非常高的处理方法

[13:13] 相对于咱们一个字节一个字节

[13:15] 把这个数据写到磁盘当中这种方法

[13:18] 因此我们说对于IO子系统这块

[13:20] 首先应该提出一个缓存的管理子系统

[13:23] 还有一个缓冲的管理子系统

[13:24] 我们说这个buffer and caching

[13:26] 对于IO子系统来讲是这个非常重要

[13:30] 那么对于IO子系统这一块的第二方面内容是

[13:33] 这个子系统需要提供一种通用的驱动程序接口

[13:37] 这里面我们讲

[13:38] 我们说IO子系统管理着一系列的IO设备

[13:42] 键盘、鼠标、打印机等等

[13:45] 但是我们说IO设备现在的种类是越来越多

[13:49] 包括一些游戏周边的方向盘等等

[13:53] 包括跳舞台等等

[13:55] 我们现在的IO设备的种类越来越多

[13:57] 因此对于操作系统的IO子系统必须为这种

[14:01] 所有的IO设备提供一种通用的驱动程序管理接口

[14:06] 也就是说新的硬件来了之后

[14:07] 我只要按照我这个接口装上对应的驱动

[14:10] 我就可以进入到操作系统

[14:12] 或者说被操作系统管理

[14:13] 被操作系统使用

[14:15] 除此之外

[14:17] 我们说对应于所有的IO设备的硬件

[14:20] 在IO子系统当中还要对他们进行

[14:23] 对他们的驱动程序进行管理

[14:25] 对应于第五部分内容

[14:27] 第五部分内容我们说叫做二级存储管理子系统

[14:30] 二级存储系统

[14:32] 这里面我们说对应于计算机系统当中

[14:35] 最为重要的存储单元

[14:36] 咱们上节课跟大家已经说过

[14:38] 在之前的课程已经跟大家讲

[14:39] 我们说对应于计算机系统

[14:42] 最重要的存储单元我们也叫做主存

[14:44] 我们叫做main memory

[14:46] 就是我们所说的内存

[14:48] 一方面原因是因为内存是CPU能够防止访问的

[14:52] 唯一的大容量存储器

[14:54] 另外一个我们也说

[14:55] 所有的进程或者说所有的程序

[14:57] 必须要加载到内存当中它才能执行

[15:00] 但是我们说内存本身存在两个致命的弱点

[15:04] 比如说第一个它是丢电之后数据就都丢失了

[15:08] 也就是说我现在计算机关机之后没有电了

[15:11] 内存当中的数据

[15:12] 就全部抹掉了

[15:13] 这是内存的第一个问题

[15:15] 另外一个内存还有另外一个问题

[15:17] 就是它太小了

[15:18] 比如说我们现在的内存基本就是4G 8G

[15:22] 多了到16G到32G

[15:24] 但是我们说通过这么大的不足以去保存我们用户的所有的程序

[15:28] 以及所有的这个数据

[15:30] 因此我们需要一个二级存储

[15:32] 也就是我们所说的磁盘

[15:34] 去用来保存用户所有的数据

[15:37] 还有包括这个对应的程序

[15:40] 而对于二级管理子系统来讲

[15:42] 我们需要一个这样的一个机制

[15:45] 把内存对应的东西备份到或者说实时备份到

[15:49] 对应的磁盘当中

[15:50] 防止我们数据的丢失

[15:52] 而对应于第五个这个二级存储管理

[15:55] 包括对应的磁盘管理系统

[15:56] 我们应该包含以下三个方面的内容的

[15:59] 相关的这个功能

[16:00] 比如说第一个

[16:01] 空闲空间管理

[16:03] 比如说我有一块磁盘

[16:04] 我空闲空间有多大对吧

[16:06] 如果有一个文件需要存储

[16:08] 我怎么去分配

[16:09] 这也涉及到第二方面的内容

[16:11] 就是说

[16:12] 存储空间的分配问题

[16:13] 我现在有一系列的文件需要保存

[16:15] 我怎么为这些个文件

[16:17] 去分配存储空间

[16:18] 分配磁盘空间

[16:20] 这是第二方面内容

[16:22] 那么第三方面内容包含叫做磁盘调度

[16:25] 对应于一个计算机系统来讲

[16:26] 我们说磁盘这种资源是有限的

[16:30] 而对应于计算机来讲

[16:31] 尤其是多道程序系统来讲

[16:33] 多个进程可能同时会申请

[16:36] 磁盘资源

[16:36] 这里面

[16:37] 我们应该提供一种调度方法或者是调度机制

[16:41] 为这些个

[16:42] 并发的程序使用磁盘这件事提供了一种调度的方法

[16:46] 操作系统给大家提供的第六大块组件

[16:49] 或者说第六方面内容

[16:51] 我们指的是网络这一块

[16:52] 那对应于网络这一块

[16:54] 除了给大家提供日常的网络连接之外

[16:56] 我们还有从另外一个角度来看这个问题

[16:59] 也就是之前给大家介绍的分布式系统

[17:02] 这里面我们说分布式系统本身是一种叫做松偶合系统

[17:06] 大家应该还记得对吧

[17:07] 我们说对应于这种松偶合系统

[17:10] 所对应的还有一种叫做

[17:12] 简偶合式系统

[17:13] 而对应于简偶合系统一般指的是多个CPU

[17:16] 它们在一个主板上并且共享内存共享时钟

[17:19] 而对应于分布式系统来讲

[17:21] 它一般并不共享内存

[17:24] 也不会共享时钟

[17:25] 它们一般分布在广域网上

[17:28] 这里面对应于分布式系统来讲有三个特点

[17:30] 第一个我们说它一般是通过这种网线

[17:34] 通过网络去连接在一起

[17:36] 并且共同完成某项工作

[17:38] 比如说信息的分发

[17:39] 比如说资源的共享

[17:41] 另外一个我们说对应于这种分布式系统的各个主机

[17:45] 一般通过某一种协议去通讯

[17:47] 比如说你们在计算机网络课程当中

[17:49] 学过的TCPIP协议等等

[17:52] 那么第三点我们就说利用分布式系统

[17:55] 实际上是一种分发资源的一种非常好的形式

[17:59] 我们说对应于分布式系统有这三大作用

[18:01] 第一个是计算加速

[18:03] 我们可以通过多台主机的共同运算

[18:06] 来加速某一项科学运算的速度

[18:08] 这是我们第一个要给大家介绍的目的

[18:10] 那么操作系统的七个组件

[18:12] 我们说这个是安全保证系统

[18:14] 对应于操作系统来讲

[18:17] 尤其是这种并发系统

[18:18] 或者说叫多道程序系统

[18:20] 里面有多个进程共同执行

[18:22] 这里面我们考虑一下真正的多道程序系统的一个内存状态

[18:28] 这里面我们说除了用户的这些个正在执行的程序之外

[18:31] 我们说还应该有操作系统的

[18:33] 它自己的一系列的进程也在内存当中执行

[18:37] 也就是说对应于内存当中的这些个进程

[18:40] 一部分应该是属于操作系统的

[18:43] 而另外一部分应该是属于用户的

[18:46] 这里面我们应该考虑一系列的一些安全性问题

[18:49] 比如说

[18:49] 对应于用户进程在执行的过程当中

[18:52] 我们说它不应该去打扰

[18:54] 或者是不应该去干涉

[18:57] 操作系统进程的执行

[18:59] 我们说一旦发生了这样的情况

[19:00] 我们说整个计算机就处于一种非常危险的境地

[19:04] 而另外一个安全性问题

[19:06] 也就是说多个用户进程在执行的过程当中

[19:09] 我们说一个用户进程

[19:10] 在执行的过程当中

[19:12] 不应该去访问另外一个进程所拥有的内存地址

[19:17] 我们说这应该也是一个安全性问题

[19:19] 如果一旦发生了这件事

[19:21] 我们说也是非常的危险的一件事

[19:24] 这里面我们看我们在操作系统的这个层面

[19:28] 如何提供一种机制来保证

[19:30] 操作系统内部的这些个进程

[19:32] 不受到外部的这些个用户进程的干扰呢

[19:36] 这里面我们说是通过一种硬件的方式去解决这个问题

[19:40] 比如说对应于这个

[19:42] 英特尔的这个8086 CPU

[19:44] 包括我们现在的CPU

[19:45] 在我们这些CPU当中有一个模式位

[19:48] 这是一个比特

[19:49] 这一个比特可以取两个值对吧

[19:51] 一个是0一个是1

[19:53] 如果当前这个模式位取0的时候

[19:55] 我们说当前的这个计算机

[19:58] 处于内核模式

[20:00] 如果当前这个比特是1

[20:02] 那么当前的这个计算机就处于用户模式

[20:05] 而对应于操作系统的内部的这些个进程

[20:09] 必须在内核模式下进行

[20:10] 也就是说我一旦

[20:12] 当前要执行的是操作系统内部的进程

[20:15] 我首先要把当前的CPU的模式位转换成0

[20:18] 这个时候你才能运行操作系统内部的这些个进程

[20:22] 而与之相对的是如果我当前运行的是用户的这个进程

[20:26] 那么当前的这个模式位

[20:28] 要把它转换成1

[20:30] 那么与内核模式和用户模式相对应的另外一个概念

[20:34] 叫做Privileged Instruction

[20:36] 我们叫做特权指令

[20:38] 这些特权指令又是怎么回事啊

[20:40] 这个特权指令

[20:40] 我们指的是我们对于底层的硬件的这些个操作

[20:44] 包括操作系统内部的这些个算法的执行

[20:48] 我们把这些个可能产生危险的

[20:51] 或者说如果不正当使用这些个指令

[20:53] 会产生危险会产生危害的这样的指令

[20:57] 给它起了一个特殊的名字

[20:59] 叫做Privileged Instruction

[21:00] 我们管它叫做特权指令

[21:02] 而这些个特权指令是必须要在内核模式下才能执行

[21:07] 这里我们想象这样一个场景啊

[21:09] 比如说你现在

[21:10] 开机这样一个过程

[21:12] 你开机首先计算机应该处于内核模式下

[21:15] 然后由你对应的引导程序把你的操作系统的这些个进程啊

[21:19] 加载到内存当中

[21:21] 然后操作系统进行一部分的初始化的相关的操作

[21:25] 之后我们就可以运行用户程序了

[21:27] 之前这一段时间

[21:28] 我们说整个计算机都是处在内核模式下

[21:31] 而开机这些初始化操作之后

[21:33] 可以运行内这个用户的进程的时候

[21:36] 我们说现在就是变成了这个对应的用户模式

[21:39] 而你在用户模式的

[21:40] 执行过程当中

[21:41] 一旦涉及到需要申请底层的资源了

[21:44] 比如说我需要磁盘了

[21:45] 我需要键盘

[21:46] 我需要鼠标

[21:46] 这些个IO设备的辅助的时候

[21:49] 又会通过某一种模式把你这个信息传递给操作系统

[21:53] 然后由当前的计算机转换到内核模式下

[21:57] 然后再由操作系统对底层的硬件进行使用

[22:00] 但这些个使用的指令

[22:01] 我们刚才讲了应该是一种特权指令

[22:04] 那么操作系统正是使用这种硬件上的模式位啊

[22:07] 内核模式和这个用户模式

[22:09] 来分辨

[22:10] 当前正在执行的到底是操作系统的进程

[22:13] 还是用户的进程

[22:14] 因此我们说这从这一点来看

[22:16] 我们从硬件上提供了某一种安全性的机制

[22:19] 来保证计算机的正常的运行

[22:22] 除此之外

[22:23] 我们说对应于多道程序系统的另外一个安全问题

[22:27] 就是说对应于资源的使用

[22:28] 必须是一种可控的方式去使用

[22:31] 比如说你一个进程啊

[22:33] 一个进程

[22:33] 你想使用某一种IO资源

[22:35] 你必须要首先向操作系统去申请

[22:38] 就是我申请我能不能使用这项资源

[22:40] 这项资源由操作系统来判断

[22:43] 你能不能使用这种你所申请的这个资源

[22:46] 如果可以的话

[22:47] 操作系统会把这个资源授权给你之后

[22:50] 你当前的才能开始使用这个资源

[22:52] 而所有没被操作系统授权的资源

[22:55] 你当前的用户进程是不能使用的

[22:57] 因此我们说整个操作系统

[23:00] 就是通过这样一系列的机制

[23:02] 来保证操作系统的正确的安全的运行

[23:06] 第八部分内容啊

[23:07] 也就是说第八个组件

[23:08] 对应于操作系统提供的

[23:10] 第八个组件我们指的是命令行解释程序

[23:13] 这个命令行解释程序

[23:14] 一般的操作系统都提供

[23:16] 比如说Windows啊

[23:17] 比如说这个Linux

[23:18] 比如说这个Unix

[23:19] 在Linux和Unix环境下

[23:21] 我们说有一系列的这样的命令解释程序

[23:24] 比如说这个Bionic Shell

[23:25] 是一系列的Shell程序

[23:26] 我们也叫做这个壳程序

[23:28] 包括C-Shell

[23:29] 包括Corn Shell

[23:30] 而对应于这种命令行解释程序

[23:32] 在Linux或者在Unix环境下

[23:34] 我们说有两种实现方法

[23:36] 那么第一种实现方法

[23:38] 我们说直接把它在内核当中

[23:40] 进行实现

[23:40] 这是一实现的方法

[23:42] 那么对应于另外一种实现方法

[23:44] 就是说我们并不把命令解释程序

[23:46] 放到内核当中

[23:47] 而是由系统程序进行实现

[23:49] 这里面我们说由系统程序实现

[23:51] 也有一定的好处

[23:52] 比如说它非常的灵活

[23:53] 比如说它非常的容易扩展

[23:55] 这里面我们说对应于命令解释程序

[23:59] 一共完成了以下这些个功能

[24:00] 比如说进程创建

[24:01] 进程管理

[24:02] IL管理

[24:03] 包括磁盘的管理等等

[24:06] 这一系列所有的提供的这些功能

[24:08] 提供的这些个组件

[24:09] 都可以进行实现

[24:10] 可以通过命令解释程序去调用

[24:12] 或者是去操作

[24:13] 那么关于我们操作系统虚论的

[24:15] 第四部分内容的第一块内容

[24:17] 就给大家介绍到这

[24:18] 谢谢大家
