[00:16] 各位同学大家好
[04:15] 也就是compatible time time sharing system

[04:17] 简称叫CTSS

[04:19] 那么这套分石系统指的是有一个大型机

[04:23] 在大型机当中我们去安装了这样一个分石系统

[04:26] 同时可以支持大概几十个终端

[04:29] 三十个终端

[04:29] 或者六六十个终端

[04:31] 这个操作系统以一种快速轮转的方式使得各个用户好像都在自己独立使用这个计算机的这样的一个系统

[04:40] 这叫早期的这个CTSS系统

[04:42] 那么那个时候我们说CTSS系统能够提供大概几十个用户同时使用

[04:47] 在当时1960年我们说是这个是不够用的

[04:51] 那么怎么办呢

[04:52] 这里面我们说UNIX的发展历史在整个操作系统当中都是有非常重要的地位

[04:58] 这里面我们说1969年以前

[05:00] 我们说那个时候的计算机非常的古老

[05:03] 非常的原始

[05:03] 比如说那个时候的输入

[05:05] 我们是用打孔机

[05:06] 输出我们是用这个对应的打印机

[05:09] 二十世纪六十年代末

[05:11] 由MIT

[05:12] 中国的麻省理工大学开发了一套非常著名的分时系统

[05:17] 这个分时系统安装在一个大型机上面

[05:19] 并且可以由三十个终端同时使用

[05:22] 也就是说每一个终端并不具备这个具体的计算的能力

[05:26] 计算能力在这个大型机上

[05:28] 而这三十个终端只是进入输入输出

[05:31] 这个东西在当时也是一个革命性的发现

[05:34] 然后各大各个大学都是争相的建立起自己的分时系统

[05:38] 比如说我们现在每一个大学

[05:40] 几乎每一个大学

[05:42] 都有一个大楼

[05:43] 我们就把它叫做计算中心

[05:45] 我们说计算中心是干什么用的呀

[05:47] 我们现在看好像计算中心好像没有什么用

[05:49] 那么在当时实际上这个计算中心就是来容纳这个大型机和它的分时系统的

[05:55] 比如说各个学校的各个的不同的实验室

[05:57] 你有对应的计算需求的时候

[05:59] 你可以利用一个终端把你的输入输入到这个对应的大型机当中

[06:04] 然后进行计算

[06:05] 然后再进行输出

[06:07] 然而我们说在一九六十年代的时候

[06:09] 对应的这三十个终端的分时系统

[06:12] 依然是不够用的

[06:14] 那怎么办呢

[06:15] 这个时候由当时的科研实力最强的三个科研机构

[06:20] 包括美国的贝尔实验室

[06:22] 包括美国的通用电器

[06:24] 以及美国的麻省理工大学

[06:26] 由他们三家共同计划开发一个全新的操作系统

[06:31] 这个全新的操作系统可以支持三百个或者三百个以上的这样的一个终端

[06:35] 能够共同使用

[06:37] 并且是分时的

[06:38] 并且是这个做任务

[06:40] 而这个操作系统

[06:41] 我们

[06:42] 有几名叫做martex

[06:43] 但是很可惜啊

[06:45] 我们说这个项目在运行了大概四年的时候已失败告终了

[06:49] 由于我们的这个项目超出了预算啊

[06:52] 实际上刚才我说的这几个特点也是软件危机的特点

[06:56] 而软件危机就恰恰发生在一九六八年

[07:00] 也就是一九六五年立项之后的三年

[07:02] 那个时候在软件工程史上非常著名的一年

[07:05] 也就是在欧洲有一个学术会议

[07:08] 我们提出了著名的软件危机

[07:10] 就说在当时

[07:11] 我们开发的

[07:12] 就是一个软件项目

[07:13] 为什么总是超出预算

[07:15] 为什么总是超时完成

[07:17] 为什么总是这么多bug

[07:18] 并且会带来这种维护性的灾难

[07:21] 那么对于martex

[07:22] 这种项目在一九六九年的时候

[07:24] 基本上是以失败告终了

[07:26] 或者说这个由martex

[07:28] martex这个项目为未来的操作系统培养了一系列的非常著名的工程师

[07:34] 美国贝尔实验室当中撤回了几个工程师

[07:37] 当中有一个非常著名的人

[07:40] 这个人叫做Kent Thompson

[07:41] 这个Kent Thompson

[07:42] 在回到贝尔实验室的时候

[07:44] 有一段时间面临一个问题

[07:46] 就是没有操作系统可用怎么办啊

[07:50] 这个时候我们说在他的家里头有一台DEC PDP-7这样的一台计算机啊

[07:56] 然后他还想移植一款游戏什么游戏

[08:00] 当时在这个美国有一款非常著名的游戏叫做太空旅游的游戏

[08:06] 这个Kent Thompson想把这款游戏移植到他的对应的计算机当中

[08:11] 那么现在问题来了

[08:12] 现在硬件有了游戏有了没有操作系统

[08:17] 这里面我们说在计算机发展历史上的这些个计算机的牛人对应于没有操作系统

[08:24] 这个问题回答都是惊人的一致

[08:27] 没有操作系统怎么办

[08:29] 自己写一个啊

[08:32] 于是这个Kent Thompson就利用了大概两个月的时间

[08:35] 用汇编语言自己写了一个操作系统啊

[08:39] 我们说在那两个月就上演着

[08:42] 这个技术宅男啊改变世界

[08:44] 拯救地球的这样一个故事啊

[08:46] 为了玩一个游戏啊

[08:48] 自己开发了一个操作系统

[08:49] 这个系统开发出来之后

[08:51] 在这个贝尔实验室当中引起了轰动是吧

[08:54] 特别的好用

[08:56] 但是也存在一个问题

[08:57] 就是当时的这个操作系统是由汇编语言写的

[09:01] 这点我们知道汇编语言存在一个最大的这个问题

[09:04] 就是汇编语言的可移植性非常的差

[09:07] 也就是我基于我当前这个硬件编辑的操作系统

[09:10] 你想要在其他领域里面做这个操作系统的话呢

[09:12] 在其他的运算平台上使用

[09:13] 你需要重新的去改习代码

[09:15] 并且重新的编译

[09:16] 我们说它的可移植性特别的差

[09:19] 这个怎么办呢

[09:20] 在贝尔实验室当中

[09:22] Ken Thompson啊

[09:23] 就是刚才咱们说的这第一个牛人

[09:25] 他有一个同事叫做Danny Ritchie

[09:27] 这个Danny Ritchie啊

[09:29] 就用B语言

[09:31] 当时的这个B语言

[09:32] 把Ken Thompson所写的这个UNIX啊

[09:36] 这个时候UNIX还不是咱们现在这个拼写方式

[09:38] 而是UNICS

[09:40] 还不是UNI

[09:42] 还不是UNICS

[09:42] 这个Danny Ritchie就把对应的这个UNIX

[09:47] 用B语言重新写了一遍

[09:49] 然后写完之后啊

[09:51] 编译之后我们又发现了一个问题

[09:53] 就是用B语言写完之后的

[09:55] 这个内核的效率实在是太差了

[09:58] 怎么办呢

[09:59] 对吧

[09:59] 我们说这个Ken Ritchie

[10:01] 为了解决这个问题

[10:02] 为了重新写UNIX

[10:04] 他发明了一种新的语言

[10:07] 就是咱们现在广为流传的C语言

[10:10] 也就是说

[10:12] C语言是由Danny Ritchie发明的

[10:15] 而为了写UNIX这个操作系统

[10:17] 我们说早期UNIX能够非常蓬勃的发展

[10:21] 和贝尔实验室的东家AT&T公司

[10:24] 对UNIX的态度非常重要

[10:27] 也就是说在早期的时候啊

[10:29] 贝尔实验室发明了这个UNIX的时候

[10:31] AT&T的公司并没有意识到UNIX

[10:35] 对应在商业界巨大的商业价值

[10:39] 而是认为这个东西无所谓嘛

[10:41] 对吧

[10:41] 就是一个操作系统

[10:42] 我既不支持你开发

[10:44] 我也不支持你开发

[10:46] 就是我既不支持也不拒绝想开发就可以开发

[10:51] 正是AT&T早期的对于这个UNIX的这样一个态度

[10:55] 使得UNIX在早期或者是在操作系统的早期占据了非常重要的地位

[11:02] 那么这两个人啊

[11:03] 一个是这个Ken Thompson

[11:05] 一个是Ritchie Dennis

[11:06] 这两个人几乎改写了计算机的历史

[11:09] 包括操作系统

[11:11] 这个发展的历史

[11:11] 那么刚才咱们讲了AT&T公司也就是贝尔实验室的这个东家

[11:16] 对于UNIX这个态度非常的开放

[11:19] 对吧

[11:19] 无所谓嘛

[11:20] 在当时他看来好像也挣不到钱

[11:22] 对吧

[11:22] 因此各个公司都在UNIX基础代码的基础之上开发了自己的版本

[11:29] 比如说AT&T公司的自己的UNIX发行版叫做System V

[11:33] 另外一个著名的IBM公司

[11:37] 我们说IBM公司也在UNIX基础代码基础之上开发了自己的版本

[11:41] 叫做AIX

[11:43] 还包括咱们SUN公司

[11:45] 当然现在SUN公司已经被这个ARIC公司收购了

[11:48] 当时SUN公司也据UNIX开发了这个非常著名的UNIX系统叫做Solaris

[11:54] 包括贵普公司也开发了HP-UX

[11:57] 也是它自己对应的UNIX发行版

[12:01] 除此之外

[12:01] 我们说UNIX由于它强大的生命力

[12:05] 包括强大的可移植性

[12:06] 除了在商业界起到了巨大的作用

[12:10] 或者说被多个公司所采

[12:13] 所开发所商用商业化

[12:15] 除此之外

[12:15] 我们说UNIX还在各个大学当中引起了轰动

[12:19] 这里面一个最著名的例子就是美国的伯克利大学

[12:24] 1973年有美国的伯克利大学当中的一个教师

[12:28] 叫做Bill Joy

[12:29] Bill Joy

[12:29] B-I-L-L-P-O-Y

[12:31] Bill Joy

[12:31] 这个Bill Joy对这个基础的UNIX代码重新进行了编译

[12:37] 加入了一些非常实用的功能

[12:39] 加入了对应的编译器

[12:41] 加入了在大学当中

[12:43] 非常需要的一些科学运算的相关软件

[12:45] 然后做成了一个非常著名的UNIX版本

[12:47] 叫做伯克利发行版

[12:49] 这个伯克利发行版就是要做UNIX的BSD版

[12:53] 就是Berkeley Software Distribution

[12:55] BSD版

[12:56] 然后在1979年

[12:58] 也就是在6年后

[12:59] 当然这个Bill Joy后来利用BSD的UNIX

[13:02] 还创造了一个企业

[13:04] 这个企业就是咱们非常著名的散公司

[13:07] 当然后来散公司被IACO收购了

[13:09] 那么在当时的Bill Joy创造的散公司

[13:12] 还有一系列非常著名的产品

[13:14] 比如说现在大家正在学习的Java

[13:17] 对吧

[13:18] 好像说Java

[13:18] 包括Java Standard Edition

[13:20] Java Enterprise Edition等等

[13:22] 都是由散公司推出的

[13:24] 除此之外

[13:24] 散公司还有一些其他的比较著名的产品

[13:26] 比如说Solaris

[13:28] 另外一个还有一个叫做虚拟机

[13:30] 在1973年BSD发行版发行之后的6年之后

[13:35] 1979年

[13:36] 这个时候AT&T公司回过味来了

[13:39] 我们刚才咱们讲

[13:40] 贝尔实验室的东家AT&T公司

[13:42] 在最开始对应于UNIX的态度是非常的暧昧的

[13:46] 我既不支持我也不反对

[13:47] 就是你开发就可以了

[13:49] 在当时他没有意识到巨大的商业价值

[13:52] 而在1979年AT&T这个公司回过味来了

[13:56] 我的天

[13:57] UNIX原来有这么巨大的生命力

[13:59] 并且对计算机历史上起到了巨大推动作用

[14:03] 并且有巨大的商机在这里

[14:05] 因此在1979年AT&T公司发明了著名的System V

[14:10] 就是它对应的UNIX发行版的

[14:12] 第七版本之后

[14:14] 我们说这个第七版本有几个特点

[14:16] 对吧

[14:16] 第一个特点就是它除了支持这个Server服务器端

[14:19] 和这个工作站端之外

[14:21] 它还首次开始支持个人计算机

[14:24] 也就是支持这个X86平台

[14:26] 那么在1979年AT&T公司发行了这个System V的第七版之后

[14:30] 它发布了一个重要的声明

[14:33] 这个重要的声明就是基于UNIX的版权收回声明

[14:37] 也就是我现在这个UNIX软件是我AT&T公司

[14:41] 或者是贝尔实验室的版权收回声明

[14:41] 或者是贝尔实验室的版权收回声明

[14:42] 的版权软件

[14:43] 你各大公司不能再免费使用了

[14:46] 想使用好来找我去买购买版权

[14:49] 在1979年AT&T公司关于UNIX的版权声明当中

[14:53] 特别提出了一句

[14:54] 就是说除了对商业化的这个UNIX收回版权之外

[14:59] 还要特别提出了一句

[15:00] 就是说在教育界

[15:02] 在大学当中

[15:03] 计算机的老师不允许再给学生提供免费的UNIX代码

[15:08] 也不允许老师在授课的过程当中使用UNIX的代码

[15:12] 我们就来看看

[15:12] 说这个版权声明对于教育界的影响也是非常的大

[15:18] 咱们后面还会接着这个点来继续讲

[15:22] 那么这个图啊

[15:23] 大家回去可以仔细的看一看

[15:25] 就是说UNIX在发展的过程当中有不同的版本

[15:30] 我们可以看一看这个些版本是如何进化的

[15:32] 如何迭代的啊

[15:33] 这个是如果想了解一下这个相关的历史也是非常有意思

[15:37] 大家可以通过互联网啊

[15:39] 通过互联网去查一下这个东西

[15:41] 那么刚才跟大家介绍

[15:42] 介绍了AT&T公司在1979年收回了对应对UNIX版权声明的时候

[15:48] 特别强调

[15:49] 就说对应于大学教授在授课当中不允许在免费使用UNIX代码

[15:54] 也不允许这个大学教授把UNIX代码发给学生

[15:57] 让大家学习去使用

[15:59] 这件事对应于大学的教学来讲影响是非常大的

[16:03] 比如说对于荷兰的阿姆斯特丹大学的这个安德鲁斯唐纳巴姆来讲

[16:08] 安德鲁斯唐纳巴姆本身是在操作系统当中非常著名的

[16:12] 一个教授

[16:13] 他本身还有一个中文名

[16:14] 对吧

[16:14] 他叫做谭宁邦

[16:16] 有兄弟同学

[16:16] 大家可以在网上搜索一下他

[16:18] 那么对于安德鲁斯唐纳巴姆来讲

[16:21] 上课没有代码可用这件事是无法接受的

[16:25] 怎么办呢

[16:25] 对吧

[16:25] 现在不需要上课

[16:27] 但是没有操作系统可用

[16:29] 这里面我们说对应于操作系统历史上

[16:31] 或者说计算机发展的历史上当中的这些个技术牛人

[16:35] 对应于没有操作系统使用这件事来讲

[16:38] 回答都是惊人的一致

[16:40] 没有操作系统怎么办

[16:42] 我自己写一个

[16:43] 因此我们说早期的这些个技术牛人都是非常厉害

[16:47] 那么安德鲁斯唐纳巴姆就在完全没有参考原始的

[16:51] UNIX代码的基础之上

[16:53] 完全由自己对于操作系统的理解

[16:56] 写了一个全新的操作系统

[16:58] 那么这个操作系统叫什么名字

[17:00] 叫做MINIX

[17:03] 安德鲁斯唐纳巴姆开发了这个操作系统之后

[17:06] 我们说很多工业界的人士也说

[17:09] 我说教授

[17:10] 你能不能把这个操作系统

[17:12] 在这边

[17:12] 进一步的优化一下

[17:13] 让工业界也能使用你的操作系统

[17:17] 但是安德鲁斯唐纳巴姆也就是谭宁邦说这个不行

[17:21] 对吧

[17:21] 我本身是一个大学教授

[17:23] 我每天的教学工作非常忙

[17:24] 我这个操作系统就是用于教学

[17:28] 不用于商用

[17:29] 我也没有开发对应的商业套件

[17:31] 也没有开发对应的商业软件

[17:33] 因此我们说对应于MINIX

[17:35] 就是完全的对教育界的进行使用

[17:38] 你可以使用它

[17:40] 但是并不是免费下载

[17:42] 因为当时的互联网没有现在这么发达

[17:44] 你可以付一部分邮费

[17:46] 跟他去邮寄一个这个MINIX的代码

[17:48] 然后你再去跟他去学习操作系统的相关知识

[17:52] 而这个MINIX的系统的开发

[17:55] 也就是说谭宁邦教授对于MINIX系统的这个开发

[17:59] 和对于教育界的贡献

[18:00] 就直接导致了后续的Linux系统的诞生

[18:04] 咱们后面会继续讲

[18:06] 那关于操作系统历史的上半部分

[18:09] 我们今天就介绍到这

[18:10] 谢谢大家

[18:12] 谢谢
