[00:16] 各位同学大家好
[07:31] 那么第三种我们可以增加整个信息分享的可靠性啊

[07:35] 就像刚才给大家讲的

[07:36] 如果有一个server当掉了

[07:37] 我们就是我们可以重定位到其他的server

[07:40] 不会影响到用户的使用

[07:41] 也就是说

[07:42] 对于这个故障对于用户来讲是不可见的

[07:46] 另外一个我们还可以使用这个分布式系统进行通信啊

[07:49] 这块就不多给大家讲

[07:51] 对于分布式系统

[07:52] 我们说他需要一些基础的网络结构

[07:55] 这里面的网络结构

[07:56] 我们说一般分为两大类啊

[07:58] 第一大类叫做client server

[08:00] 这是非常简单的CS结构

[08:01] 你作为一个client去去申请这个server当中的一些信息

[08:04] 然后server再返给你啊

[08:05] 这是一个非常简单的结构

[08:07] 那么对于另外一种结构叫做peer to peer

[08:11] 我们一般写成peer to peer

[08:12] 这个to啊

[08:13] 这个to啊

[08:13] 二啊

[08:14] peer to peer

[08:15] 对于这种peer to peer

[08:16] 也就是说对于对等计算

[08:18] 这个结构一般不存在一个server

[08:21] 或者是存在多个server

[08:22] 这里面的每一个客户端

[08:24] 他都是server

[08:26] 比如说我们如果是使用教育网去下载一些电影啊

[08:31] 电视剧也好

[08:31] 或者学习作业的也好

[08:33] 我们在教育网上有一个非常好的peer to peer平台

[08:36] 叫做六维空间

[08:37] 他是架在这个IPv6上的

[08:39] 如果你去使用这个六维空间的

[08:41] 这个

[08:42] 使用对应的客户端去下载你的电影啊

[08:44] 下载那个电视剧的这样的一个过程当中

[08:46] 你在下载的过程当中

[08:48] 你还要进一步去上传

[08:49] 对不对

[08:50] 因此对于你的下载这个操作来讲

[08:52] 你是个client

[08:54] 但与此同时

[08:54] 你还要上传你本地磁盘当中的一些个资源

[08:58] 而你上传的这个过程

[09:00] 我们说他应该是一个你自己本身是一个server

[09:03] 而你上传的其他的你上传的给别人下载的对方的那个客户端就变成了client

[09:09] 因此对于peer to peer

[09:10] 不存在一个集中式的server

[09:12] 而是一种分布式的既是client

[09:14] 也是server

[09:15] 那么对于多处理器系统的另外一种形式

[09:20] 还有一种叫做集群系统

[09:21] 刚才给大家讲的叫做减偶合系统

[09:24] 还有一种叫做送偶合系统

[09:26] 那么对于集群系统应该是介于二者之间

[09:30] 这里面我们说对于减偶合系统应该是多个处理器共享内存啊

[09:34] 一般是在一块主板上啊

[09:36] 在一个机箱里

[09:37] 而对于分布式系统应该是在广域网上进行分布的

[09:41] 而对于减偶合系统应该是在广域网上进行分布的

[09:41] 而对于集群系统应该是在二者之间

[09:44] 它一般应用在实验室环境

[09:46] 而且一般应用都是这个基于科学计算方面的使用

[09:51] 这里面我们说集群系统的多个CPU

[09:54] 集群系统的多个CPU一般并不共享内存

[09:58] 但是它们共享存储

[09:59] 也就是对应多个计算机

[10:01] 它们的存储是共享的

[10:03] 对应于集群系统来讲

[10:06] 我们说也有两种结构

[10:07] 第一种叫做这种这个非对称结构

[10:10] 对应于非对称结构

[10:11] 对应于非对称结构

[10:11] 我们说是两个计算机成一个对

[10:15] 成对运行或者是叫一个pair

[10:16] 这里面一个计算机或者叫一个server

[10:19] 它是正常的去运行

[10:21] 而另外一个计算机也是处于运行状态

[10:23] 但是它什么都不做

[10:24] 它作为一个监视器监视着你现在的工作的这个server

[10:28] 如果你这个工作的server出现了一个错误

[10:32] 那么马上或者是这个server出现故障

[10:34] 出现了当掉了

[10:35] 我们马上处于备份模式的

[10:37] 或者说处于监视模式的这个server

[10:39] 马上就可以进入到工作状态

[10:41] 而这种结构

[10:43] 这种非对称的集群结构也叫做热备份模式

[10:47] 那么除了这种非对称的结构之外

[10:48] 我们说集群系统还有另外一种形式

[10:51] 叫做对称结构

[10:53] 对应于对称结构当中

[10:54] 我们说多个处理器都是一样的

[10:56] 可以共同的全部的去运行这个对应的应用

[11:00] 另外一个在操作系统分类这一块

[11:03] 还要给大家介绍两种专用系统

[11:05] 第一种叫做实时系统

[11:07] 对应于实时系统

[11:08] 一般是应用于工业控制当中的一些嵌入式

[11:11] 设备当中作为一些控制的系统来使用

[11:14] 比如说对应一些科学实验当中的一些个实验控制

[11:18] 比如说我们的这个酸碱低定

[11:20] 我们说低定中和的过程当中

[11:22] 底下我们说有一个酸性溶液

[11:24] 我们想测量它的pH值

[11:26] 就到底有酸碱度是多少

[11:28] 这里面我们一般通过这个低定的方法来做

[11:31] 也就是说上面我们滴一些碱溶液

[11:33] 然后我们不断的测试它的pH值

[11:35] 对吧

[11:35] 我们说如果到7了

[11:36] 或者说pH到达中性了

[11:39] 比如说到7了

[11:40] 我们上面的这个

[11:41] 低定的这个过程就要立即停止

[11:43] 我们说通过这种实时系统去控制科学实验

[11:47] 也是这个非常重要的一个方面

[11:49] 另外一个我们还可以通过一些这个实时系统

[11:52] 去控制这个工业化的生产的这个过程

[11:55] 比如说汽车在生产线上

[11:57] 在流水线上

[11:58] 这个喷漆的过程

[11:59] 我们说喷漆的过程

[12:00] 当这个汽车到达了预定的位置的时候

[12:02] 我们的机械手臂要对它进行喷漆

[12:04] 而这个过程我们要检测

[12:06] 汽车是不是到达这个位置

[12:08] 到达这个位置在一定的时间内

[12:09] 我们要马上对它进行喷漆

[12:11] 对不对

[12:11] 要不然的话

[12:12] 这个汽车就过去了

[12:13] 因此我们说对于实时系统

[12:16] 它一个要求就是

[12:17] 它的这个反应的时间是非常的快

[12:20] 或者说要在一个限定之内

[12:23] 因此我们在这里面

[12:24] 如果你去设计一个实时系统

[12:26] 我们要做的第一件事

[12:28] 就是你要先定义好

[12:30] 你的限制时间是多少

[12:32] 比如说对于工业生产

[12:33] 可能只能是0.02秒

[12:35] 不能再超过这个时间了

[12:37] 超过这个时间可能就出事故了

[12:38] 比如说对于一些医疗设备

[12:40] 包括

[12:41] 包括一些监控设备

[12:42] 比如说我们对于一些监控系统来讲

[12:45] 实时性也是非常的重要

[12:46] 比如说我们从监测到有入侵了

[12:50] 到你开始报警

[12:51] 我们说这段时间不能太长

[12:53] 如果太长的话

[12:53] 贼都跑了

[12:54] 对不对

[12:56] 这里面我们如果对实时系统进行分类

[12:59] 我们可以把实时系统分为硬实时系统和软实时系统

[13:03] 这里面我们看对应于硬实时系统

[13:05] 他是这样说的

[13:06] 这里面的硬指的是一种强行的规定

[13:10] 这里面指的是什么

[13:11] 就是从我的计算机输入开始请求

[13:13] 就是我请求作为一个动作

[13:15] 到你真正计算机开始产生的这个动作的间隔时间

[13:20] 是我预先定义好的

[13:22] 比如说只有0.1秒

[13:24] 就说你超过0.1秒

[13:25] 我们说这个系统就是失败的

[13:27] 对于这种规定好的这种时间

[13:30] 必须做出对应反应的这样的一个系统

[13:32] 我们叫做硬实时系统

[13:34] 而对应于硬实时系统

[13:36] 一般都是专有系统

[13:38] 主要用于这个工业生产啊

[13:40] 主要用于这个安全的监控系统

[13:41] 一般并不适用通常意义上的操作系统

[13:45] 比如说Windows

[13:46] 就是咱们常用的操作系统

[13:47] 一般都不支持这种硬实时系统

[13:50] 而与硬实时系统所对应的

[13:53] 应该是一种软实时系统

[13:55] 对应于软实时系统是怎么回事啊

[13:58] 只能这样

[13:58] 就是说我对应于你当前的一个程序

[14:00] 如果它是一个软实时系统

[14:02] 我操作系统并不能完全的规定

[14:05] 就说我不承诺

[14:06] 你在零点几秒就能够产生响应

[14:08] 或者说你在零点几秒之内就运行完毕

[14:11] 我不做这样的承诺

[14:12] 我只是在众多的进程当中

[14:15] 给你当前的具有软实时性

[14:17] 软实时特点的进程

[14:20] 一个相对比较高的优先级

[14:22] 我尽快让你去做

[14:24] 就是说我承诺尽快让你去完成

[14:26] 但是我不承诺在多少段秒之内

[14:29] 一定把你完成

[14:30] 这个是不做承诺的

[14:31] 比如说我们现在打开计算机

[14:33] 你打开计算机

[14:34] 有一些的进程

[14:36] 大概有150个进程

[14:37] 包括操作系统的进程

[14:38] 包括一些你自己运行的进程

[14:40] 你自己运行的Word

[14:41] 你自己玩的游戏

[14:42] 你自己打开的视频等等

[14:44] 这些个进程

[14:45] 其中还有另外一个进程

[14:47] 比如说是你跟你的母亲

[14:48] 在远程的聊天

[14:49] 视频的聊天

[14:50] 这里面我们为了保证

[14:52] 这个视频聊天的流畅度

[14:54] 一般给这种视频聊天的进程

[14:56] 一个相当高的优先级

[14:58] 也就是我尽可能的

[14:59] 让你这个视频不卡掉

[15:01] 但是如果卡了

[15:03] 卡了也就卡了

[15:04] 停了也就停了

[15:05] 因此我们说

[15:05] 对于软实时系统来讲

[15:07] 实际上是针对于

[15:08] 某一个具有软实时性能的

[15:11] 或者是特点的进程

[15:12] 给它一个相当高的优先级

[15:14] 并且尽力让它早一点完成

[15:16] 这就是我们对于软实时系统

[15:19] 要做的这个事

[15:20] 那么第二个特有系统

[15:22] 我们说叫做手持系统

[15:23] 现在早期我们给大家介绍手持系统

[15:26] 一般指的是这个

[15:27] 叫做PDA

[15:28] 对吧

[15:28] 叫做Personal Digital Assistant

[15:30] 一般指的是这个个人电脑

[15:31] 或者是掌上计算机

[15:32] 那么现在我们说手持设备

[15:35] 一般指的是

[15:36] 就要叫做这个智能电话

[15:37] 或者叫智能手机

[15:38] 比如说我们的

[15:39] 基于安卓的智能手机

[15:40] 啊

[15:41] 或我们基于这个

[15:42] 这个iOS的iPhone一个系列

[15:44] 那么对于手持系统

[15:46] 有一些特点

[15:46] 比如说我们要求

[15:47] 它的反应速度非常的快

[15:49] 比如说对应我的触控啊

[15:51] 对应于我的一些输入

[15:52] 它要应该有在很缓短的时间内

[15:55] 进行反应

[15:55] 你要有所反应

[15:57] 这里面我们说早期的安卓机

[15:58] 这块做的就非常的不好

[15:59] 对吧

[16:00] 我们说进行滑动啊

[16:01] 进行这个手势的

[16:02] 这个操作的时候

[16:03] 有一定的卡顿

[16:04] 而这个iOS的这个操作系统

[16:07] 一直保持的非常好

[16:08] 另外一个对应于手持系统的

[16:10] 另外一个特点

[16:11] 就是说它对于续航要求比较高

[16:13] 就是说对应于电池的性能啊

[16:15] 包括整体

[16:16] 这个整机的性能

[16:17] 都要求非常的高

[16:18] 不能说像咱们笔记本似的

[16:20] 这个大概待机两个小时啊

[16:21] 待机四个小时就就没有电了

[16:23] 我们说这个也是不可以的

[16:24] 那么对应于手持系统的

[16:26] 另外一个特点就是说

[16:27] 它内置了很多的传感器啊

[16:29] 包括这个距离传感器啊

[16:31] 包括陀螺仪啊

[16:32] 包括包括方向传感器啊

[16:33] 等等

[16:33] 由这些传感器

[16:35] 同时也可以作为

[16:37] 以这个对应于计算机系统的

[16:39] 一个IO设备

[16:40] 我们要接通的

[16:41] 去控制这样的一些传感器

[16:43] 来共同为我们的一个用户服务

[16:45] 另外一个

[16:46] 现在的这个操作系统

[16:48] 这个手持系统

[16:49] 它的处理器

[16:50] 也是核心是越来越多

[16:52] 而且内存是越来越大

[16:53] 而且这个运行速度

[16:55] 也是越来越快的

[16:56] 这里面对应于手持系统呢

[16:58] 就给大家介绍到这儿

[17:00] 那么我们关于

[17:01] 虚论部分的操作系统的分类

[17:04] 这一块呢

[17:04] 就给大家介绍到这儿

[17:06] 谢谢大家
