[00:16] 各位同学大家好
[03:55] 这里面我们看这个图

[03:56] 我们看Solaris的所有的进程

[03:58] 是一种竖状结构来组织的

[04:01] 比如说它的根结点是一个叫做

[04:02] SHED这样一个进程

[04:04] 它的PID等于0

[04:05] 那么这里面插一句

[04:06] 我们说在进程创建的过程当中

[04:09] 操作系统都会给每一个进程分配一个标号

[04:13] 那么这个标号的

[04:14] 就叫做Process Identifier

[04:16] 这个也叫做PID

[04:18] 这里面我们看它的根结点的进程

[04:20] 也就是最上面那个进程

[04:21] 叫做SHED这样一个进程

[04:24] 它的PID是等于0的

[04:26] 那么这个进程是所有系统进程

[04:29] 和用户进程的一个祖宗节点

[04:31] 对吧

[04:32] 这个叫做副节点

[04:33] 由这样一个节点产生了一系列的子节点

[04:36] 比如说由当前的0号进程

[04:39] 产生了三个子进程

[04:40] 第一个进程叫做1号进程

[04:42] 也叫做NIT这个进程

[04:44] 那么对于这个进程

[04:45] 实际上是所有用户进程的一个根进程

[04:50] 那么我们看由当前的这个0号进程

[04:52] 产生的第二个子进程叫做2号进程

[04:55] 这个2号进程实际上是PageOut进程

[04:58] 那么PageOut的这个进程

[05:00] 管理了当前系统的所有的内存资源

[05:03] 那么对于0号进程的第三个子进程

[05:05] 我们叫做FS Flush这样一个进程

[05:09] 那么这个3号进程

[05:11] 管理着当前计算机系统的所有的文件资源

[05:14] 这里面我们回过头来看

[05:17] 我们看1号进程

[05:18] 我们说1号进程是所有用户进程的一个根据点

[05:22] 这里面我们看由1号进程又产生了两个子进程

[05:26] 分别是左边这个进程和右边这个进程

[05:28] 我们看左边这个进程实际上是NIT这样一个进程

[05:32] 它实际上是维护了计算机的网络连接的这样一个进程

[05:35] 它的PID是140

[05:37] 然后由这样的一个140号进程

[05:39] 又产生了一个子进程

[05:40] 是这个Telnet进程

[05:42] 这个Telnet进程是PID是777

[05:44] 由Telnet进程又产生了一个子进程

[05:47] 我们说这个C Shell

[05:48] 它是一个命令行解释程序

[05:51] 你可以通过命令行解释程序进一步创建进程

[05:54] 我们看由C Shell的这样一个777 8号进程

[05:56] 又产生了两个子进程

[05:58] 一个是Netscape进程

[06:00] Netscape我们说是一个浏览器

[06:01] 通过这样的一个进程

[06:02] 你可以去浏览网页

[06:04] 然后由777 8这个进程又产生了一个子进程

[06:08] 叫做EMAX进程

[06:09] 我们说EMAX是一个文本编辑器

[06:11] 然后我们回过头来往上看

[06:14] 我们去看这个1号进程

[06:15] 我们说1号进程是所有用户进程的这个根进程

[06:20] 我们看由这个1号进程还产生一个叫做Login的这个进程

[06:23] 这实际上是一个登录界面的一个进程

[06:25] 它的PID是251

[06:27] 之后由这个登录的这个进程产生了一个子进程

[06:30] 叫做Accession

[06:31] 我们说这是一个用户界面的一个进程

[06:33] 然后由这个用户界面的这个Accession进程

[06:35] 又产生了一个STD Shell的一个进程

[06:38] 由Shell的进程又产生了一个C Shell的进程

[06:41] 我们说C Shell又是一个命令行解释程序

[06:43] 对吧

[06:43] 又通过C Shell

[06:44] 又可以进一步执行一些程序

[06:46] 比如说我们执行了LS这样一个程序和这个CAT这样一个程序

[06:51] 那通过这个例子

[06:52] 我们可以我们就可以看到在操作系统内部啊

[06:55] 这些个所有的进程都是以一种数状形式进行组织的

[07:00] 那么我们创建一个进程

[07:02] 我们说创建一个进程有哪些个步骤啊

[07:04] 这里面我们说一般经历四个步骤

[07:07] 第一步

[07:07] 你一个进程提交到系统当中

[07:10] 由操作系统首先要给你分配一个

[07:12] 你对于当前进程

[07:14] 最为重要的一个资源的一个叫做数据结构

[07:17] 这个数据结构就叫做PCB

[07:19] 因此一个进程在提交到系统当中

[07:22] 那么由操作系统首先给你分配一个空白的PCB

[07:26] 这是第一步

[07:28] 那么进程创建的第二步

[07:30] 我们说你以任何一个进程在执行的过程当中都需要一定的系统资源

[07:34] 对吧

[07:34] 这里面包括一些内存的

[07:35] 包括你要你所需要的一些文件的

[07:37] 包括一些IO资源

[07:39] 那么这里面第二步就是由操作系统对当前进程所需要的资源

[07:43] 进行分配

[07:46] 那么第三种这个第三个步骤是初始化PCB

[07:49] 就是你刚才操作系统给当前进程分配的一个PCB

[07:53] 你还要往对应的这个PCB的数据结构当中写入一些初始化的信息

[07:58] 比如说对用一Program Counter

[08:00] 我们这Program Counter指向了你当前进程正在执行的第一个指令

[08:04] 因此

[08:05] 我们看初始化的时候就要把你当前程序的第一个指令的地址附给Program Counter

[08:10] 那么除此之外

[08:11] 你还要在PCB当中的一些切换

[08:13] 其他的数据项目当中写入一些信息

[08:15] 比如说Scheduling的一些信息

[08:17] 你当前进程的优先级是多少

[08:19] 你当前进程所使用的时间片是多少等等

[08:22] 这是第三步初始化PCB

[08:24] 然后这一步完成之后就进入了第四步

[08:27] 第四步就是把当前的这个进程放入到Ready堆类当中

[08:31] 然后参与CPU的调度和分配

[08:34] 我们说这就是整个一个进程的一个创建的一个过程

[08:38] 那这里面我们以UNIX这样一个例子来给大家解释创建过程这样的一个具体步骤

[08:43] 那么对于UNIX系统

[08:45] 它有一个特殊的指令叫做Fork

[08:47] 叫做Fork

[08:49] 那么对于这个Fork指令

[08:51] 实际上是由这个副进程执行Fork指令

[08:54] 然后创建了一个子进程

[08:56] 那么这个过程当中

[08:57] 我们说Fork首先会在内存当中开辟一块内存区域

[09:02] 创建了一个子进程

[09:03] 就是子进程所拥有的这块内存区域

[09:05] 并且由Fork创建出来的子进程的内存的地址空间

[09:10] 和副进程的内存地址空间是完全一样的

[09:13] 那么Fork执行到这儿

[09:16] 实际上当前的这个系统电用或者是这个指令已经完成了

[09:19] 换句话讲

[09:21] 由副进程执行Fork这样一个指令

[09:23] 实际上就是在内存当中开辟一块区域

[09:26] 并且把这块区域付给自己的子进程

[09:28] 与此同时子进程的内存区域和副进程的内存区域是完全一样的

[09:34] 这就是Fork指令

[09:35] 但是我们说一般由副进程创建了一个子进程

[09:39] 并不希望由子进程还是执行完全执行这个副进程的程序

[09:42] 我们一般希望由子进程去执行一个新的程序

[09:46] 因此我们说这里面还需要另外一个指令

[09:49] 叫做exec指令

[09:50] 就是我们这个这个PPT当中的这个第二个指令

[09:54] 那么exec这个指令实际上是由子进程执行之后

[09:58] 把他所需要执行的这个程序加载到自己的内存空间当中

[10:03] 然后就开始执行

[10:05] 开始执行这个由子进程开始执行你这个新的程序

[10:08] 我们说这就是一个完整的这样的一个过程

[10:12] 这里面我们先给大家介绍这个Fork指令

[10:15] 这一Fork指令我们说是由UNIX操作系统或者是包括Linux操作系统共同使用的这样一

[10:20] 我们说Fork指令是由UNIX系统和Linux Linux操作系统是可以共同使用的

[10:25] 对于Fork系统来讲

[10:26] 它实际上就是在内存的地址空间创建一个自己的拷贝

[10:31] 然后就完事

[10:31] 我们说剩下的工作是其他指令完成的

[10:34] 对于Fork指令

[10:36] 它一般是这个一个系统调用

[10:38] 并且是在内核模式下执行的

[10:40] 我们说一般所有的系统调用

[10:42] 都是在内核模式下执行

[10:44] 对于Fork指令

[10:45] 它一般也遵循Poxic标准

[10:48] 咱们在给大家介绍操作系统历史的时候已经给大家介绍了

[10:52] 那么现在的UNIX系统

[10:53] 现在的Linux系统

[10:55] 包括现在的Mac系统

[10:56] 实际上都是支持Poxic标准的

[11:00] 那么对于Fork这个指令

[11:01] 我们说它还有另外一点要跟大家说明

[11:04] 就是Fork指令

[11:05] 它根据是副进程的执行还是子进程的执行

[11:08] 它的返回值是不一样的

[11:10] 也就是说

[11:11] 对于副进程

[11:12] 执行Fork这样一个指令之后

[11:14] 我们说子进程已经创建了

[11:16] 并且子进程拥有和副进程相同的代码段

[11:19] 或者说相同的内存空间

[11:21] 这个时候对于子进程来讲

[11:23] 它实际上也是从Fork指令开始运行的

[11:27] 但是这个时候我们就会这样一个疑问

[11:29] 对吧

[11:29] 如果子进程继续从Fork指令开始运行

[11:32] 那么我们说Fork指令是创建子进程的一个指令

[11:35] 那么子进程执行Fork指令会不会进一步创建一个子进程啊

[11:40] 这里面我们说是不会的

[11:42] 为什么不会啊

[11:44] 因为Fork指令由副进程执行和子进程执行

[11:48] 它的返回值是不一样的

[11:50] 这一点对于Fork指令来讲是非常重要的一点

[11:53] 那么由Fork指令如果是由副进程来执行

[11:57] 那么对于副进程的返回值就是子进程

[12:00] 它所创建的子进程的PID

[12:02] 我们说PID是一个整数

[12:04] 是一个大于零的整数

[12:06] 那么如果是子进程去执行这个Fork

[12:09] 它返回值是零

[12:10] 由于此

[12:12] Fork指令就会进一步创建一个子进程

[12:14] 那么我们说Fork指令就是一个子进程

[12:16] 我现在从现在开始执行

[12:18] 我是一个子进程

[12:19] 我不再进一步执行

[12:21] 是这个执行创建创建一个子进程

[12:23] 我就是一个子进程

[12:24] 这里面我们刚才给大家介绍的第二个指令叫做exec指令

[12:28] 我们说这个指令也是非常重要的

[12:30] 对吧

[12:31] 一般是由子进程进行执行

[12:33] 而exec这样的一个指令就是把将要执行的这个新的程序

[12:38] 加载到子进程的地址空间当中

[12:40] 这就是一个exec指令

[12:41] 那么除了这个exec指令之外

[12:42] 还有一个叫做wait指令

[12:44] 这个wait指令一般由副进程执行

[12:46] 假如说副进程在执行的过程当中创建了一个子进程

[12:50] 并且希望由子进程进一步执行

[12:52] 而副进程不再执行了

[12:54] 那么这个时候副进程就可以执行这个wait指令

[12:58] 那么副进程执行wait指令之后

[13:00] 副进程的状态就是一个waiting状态

[13:03] 那么子进程可以进一步参与调度

[13:05] 对吧

[13:06] 加载到这个ready队内当中

[13:07] 然后进一步参与调度

[13:08] 这个参与执行

[13:10] 那么当子进程执行完毕之后

[13:12] 他会给操作系统一个返回值

[13:14] 告诉操作系统

[13:15] 我当前这个子进程已经运行完毕了

[13:18] 然后由操作系统通知当时创建他的副进程

[13:22] 告诉他你的子进程已经运行完毕了

[13:24] 然后唤醒副进程

[13:26] 由副进程进一步参与调度和这个执行

[13:29] 把副进程加载到这个ready队内当中进一步执行

[13:33] 这里面给大家举一个例子

[13:34] 我们可以看这个图

[13:35] 我们说副进程跟子进程

[13:37] 假如说都从fuck指定开始看

[13:39] 我们副进程执行fuck指定之后

[13:41] 创建了一个子进程

[13:42] 并且子进程拥有跟副进程相同的地址空间

[13:45] 然后副进程执行了一个wait指定

[13:48] 然后副进程变成了waiting状态

[13:51] 然后我们看下面这条线

[13:53] 子进程也从fuck指定开始执行

[13:56] 我们说子进程执行的fuck指定的返回值是0

[13:59] 这个时候就由操作系统知道

[14:01] 这个当前是由子进程正在执行

[14:04] 那么子进程执行完fuck指定之后

[14:06] 他会进一步执行一个叫做exec指定

[14:09] 由exec指定加载这个stack

[14:12] 你将要执行的这个新的程序

[14:14] 加载到子进程的内存地址空间当中

[14:17] 然后开始执行

[14:19] 执行完毕之后

[14:20] 对应于子进程会执行一个exit这样一个指令

[14:23] 来告诉操作系统

[14:24] 我子进程执行完毕了

[14:26] 然后由操作系统通知副进程

[14:28] 你现在可以结束等待状态了

[14:30] 进一步开始执行

[14:32] 我们说这就是一个整个的

[14:34] 副进程创建子进程的

[14:36] 或者是他们之间的运行状态

[14:38] 这样的一个过程

[14:40] 比如说我们可以看这条代码

[14:42] 这个代码是由C写的一段

[14:44] 这个这个unix当中的一个创建子进程的一个过程

[14:48] 我们先看这个第一行mtmain

[14:50] 这没什么好说的对吧

[14:51] 一个main函数

[14:52] 然后再往下

[14:53] 他定了一个pid的这样一个变量

[14:56] 再往下我们看由pid等于fork

[14:59] 由fork返回值是付给这个pid的

[15:02] 这里面我们说

[15:03] 当前的这个代码是副进程的代码

[15:06] 我们说如果是副进程的代码

[15:08] 副进程执行完fork之后

[15:10] 它的返回值应该是它的子进程

[15:12] 子进程的pid对吧

[15:14] 这个之前已经给大家介绍了

[15:16] 那么我们说pid应该是一个大于零的数

[15:19] 这个概念对于咱们这个代码非常的重要

[15:22] 咱们接着往下看pid等于fork

[15:25] 这个时候pid应该已经等于一个值了

[15:27] 咱们再往下看ifpid小于零

[15:30] 我们说如果是副进程执行fork

[15:32] 它的返回值应该是一个大于零的数

[15:34] 如果是子进程执行fork

[15:36] 它的返回值应该是一个等于零的数

[15:38] 那么如果pid小于零

[15:39] 我们指的是当前发生的系统错误

[15:42] 创建进程发生了错误

[15:44] 这种情况这是第一种情况

[15:46] 我们再往下看

[15:47] 我们说如果pid等于零

[15:50] 咱们看会发生一种什么情况

[15:52] 我们说当前这是副进程的代码

[15:54] pid应该是一个大于零的数

[15:56] 因此pid等于零应该是

[15:58] pid不会等于零的

[16:00] 因此第二种第二个条件

[16:02] 我们也是跳过去

[16:03] 我们再看第三个情况

[16:05] 第三个情况是一个else

[16:06] 也就是说当pid大于零的时候

[16:08] 我们执行下面这个代码

[16:09] 我们看下面这个代码是什么

[16:12] 这个weight对不对

[16:13] 也就是说对于当前的副进程来讲

[16:15] 执行了pid等于fork之后

[16:17] 我们开始判断

[16:18] 如果这个pid大于零

[16:20] 那么当前的这个副进程

[16:22] 就进入档代状态

[16:24] 然后就不再往下执行了对不对

[16:26] 我们说当前的这个副进程

[16:28] 已经进入档代状态了

[16:30] 然后我们再看

[16:31] 还是这个代码

[16:32] 我们说副进程创建了子进程之后

[16:35] 子进程跟副进程拥有相同的内存地址空间

[16:38] 拥有相同的数据段

[16:40] 相同的代码段

[16:41] 他们的代码也是完全一样的对吧

[16:43] 我们现在看还是看这幅图

[16:45] 还是看这个代码

[16:46] 我们现在假设这段代码是子进程执行的

[16:49] 我们还是看从fork开始执行

[16:52] 我们说子进程如果执行了一个fork系统调用

[16:55] 或者是执行了fork指定

[16:56] 它的返回值应该是等于零的

[16:59] 我们再往下看

[17:00] 第一个分支

[17:01] 我们说一副pid等于零

[17:02] 我们说这个不会发生对吧

[17:04] 如果发生就是出现了错误

[17:05] 我们再看第二个分支

[17:07] 第二个分支

[17:08] 我们看else一副pid等于零

[17:10] pid确实是等于零的对吧

[17:11] 因为当前是子进程正在执行

[17:14] 然后我们执行exec程序

[17:16] 那么这里面我们执行的是execlp

[17:19] 这是一个exec的一个变种

[17:21] 我们看我们将要把一个什么样的程序

[17:24] 加载到子进程的地址空间当中

[17:26] 就是后面这个execlp括号当中的

[17:29] 第一个引号当中是binary

[17:31] 这个刚bin这样的一个目录

[17:33] 下面的ls这个程序

[17:35] 那么在linux或者是unix系统当中

[17:37] rs是一个指令

[17:38] 一个特殊的指令就是列举

[17:40] 当前的这个所有的程序

[17:41] 所有的文件

[17:43] 我们看实际上子进程执行了ls这个程序

[17:46] 然后子进程会覆盖掉自己的内存地址空间

[17:49] 也就是这段代码执行到这

[17:51] 它的代码已经发生改变了

[17:54] 已经不是你现在看到这个代码

[17:56] 应该是ls的所

[17:57] 这个ls这个程序所对应的代码

[18:00] 那么当子进程执行完毕之后

[18:02] 我们说它会通知操作系统对吧

[18:04] 我说子进程执行完了

[18:05] 通过这个exeit这样一个指令

[18:08] 告诉操作系统

[18:09] 子进程执行完了

[18:10] 然后由操作系统告诉副进程

[18:12] 我们说副进程现在还是等待状态的

[18:15] 对吧

[18:16] 我们现在再看这段代码

[18:17] 我们说现在是副进程的代码了

[18:19] 我们刚才说副进程的代码

[18:21] 在wait now指令当中正在等待

[18:24] 然后由操作系统告诉副进程

[18:26] 说你的创建的子进程已经运行完毕了

[18:30] 你现在副进程可以恢复运行了

[18:32] 然后由当前的副进程

[18:34] 从wait指令的下一句语句开始执行

[18:37] 我们看这是一个print函数

[18:38] 对吧

[18:39] 由print函数执行了

[18:40] 这个打印了一个chat complete这样一个语句

[18:42] 之后exeit0

[18:44] 我们说副进程也执行完了

[18:46] 那么这里面我们说

[18:47] 副进程和子进程之间的运行关系

[18:50] 就是这样的一个关系

[18:51] 当然副进程在运行的最后

[18:53] 也会还给操作系统一个返回值

[18:56] 然后由操作系统告诉当前这个副进程

[18:58] 他的副进程

[18:59] 这样是一个一个一个循环的一个过程

[19:01] 除此之外

[19:02] 我们再看

[19:03] 这对应于进程的最后一种操作

[19:05] 我们说进程的停止

[19:07] 或者叫做purchase termination

[19:09] 我们看进程是在什么样的一个情况下

[19:12] 就执行完毕了

[19:13] 这里面我们看第一种情况

[19:14] 第一种情况是一个正常的情况

[19:16] 当一个进程执行完

[19:18] 它对应的代码当中的最后一条语句了

[19:20] 那么当前的这个进程就结束了

[19:23] 就结束完毕了

[19:24] 变成terminate状态

[19:25] 我们说这是一种进程的状态

[19:27] 这个正常的状态

[19:28] 一个进程运行结束完之后

[19:30] 它的所有的资源都会被操作系统所回收

[19:33] 那么与之对应的另外一种情况

[19:36] 是一种异常的停止

[19:37] 比如说有几种情况

[19:38] 比如说有几种情况

[19:39] 第一种情况就是由子进程访问的

[19:42] 它并不能访问的一些个资源

[19:44] 我们说这个时候

[19:45] 可以由副进程终止子进程的运行

[19:48] 我们说这是第一种情况

[19:49] 那么除此之外

[19:50] 还有另外一种情况

[19:51] 就是说由副进程认为

[19:52] 子进程所提供的服务

[19:54] 或者说子进程所要运行的程序

[19:57] 已经不再需要了

[19:58] 那么这个时候也可以由副进程

[20:00] 停止掉这个子进程

[20:02] 我们说这个就是进程停止的一些个情况

[20:05] 那么关于进程操作这一块

[20:08] 就给大家介绍一下

[20:09] 就说到这

[20:10] 谢谢大家
